target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source,earth_similarity_score,similarity_breakdown,earth_similarity_category
FALSE POSITIVE,10.31872301,28.59,139.26,876.0,5927.0,1.06,1.05,,3.836,871.7,kepler,42.672535606513954,"{'planetary_radius': 0.664694299366578, 'insolation_flux': 0.012731462097119839, 'equilibrium_temp': 0, 'orbital_period': 0.821668898121259, 'stellar_temp': 0.9255, 'stellar_radius': 0.9883462183752049}",Moderate
CONFIRMED,2.539183147,2.06,743.09,1332.0,5519.0,1.062,0.921,,2.4282,382.1,kepler,48.99235832027947,"{'planetary_radius': 0.927729401719851, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7515630191503684, 'stellar_temp': 0.8705, 'stellar_radius': 0.9879692154360505}",Moderate
CONFIRMED,6.770300385,2.77,102.87,812.0,5653.0,0.679,0.767,,2.0844,1304.0,kepler,50.76997531492604,"{'planetary_radius': 0.8981152679800752, 'insolation_flux': 0.0733067889714123, 'equilibrium_temp': 0, 'orbital_period': 0.8005981702661913, 'stellar_temp': 0.9375, 'stellar_radius': 0.9225731697153118}",Moderate
CONFIRMED,23.9800854,1.31,41.94,649.0,5854.0,1.012,0.951,,5.351,104.0,kepler,58.75511072025833,"{'planetary_radius': 0.972997286278694, 'insolation_flux': 0.25275199490524525, 'equilibrium_temp': 0, 'orbital_period': 0.8638320830131652, 'stellar_temp': 0.962, 'stellar_radius': 0.9976142858269452}",Moderate
CONFIRMED,22.36646466,2.32,19.45,536.0,5395.0,0.734,0.821,,5.228,986.8,kepler,59.015307178797094,"{'planetary_radius': 0.9158432814321782, 'insolation_flux': 0.4064305859871089, 'equilibrium_temp': 0, 'orbital_period': 0.8603490336521649, 'stellar_temp': 0.8085, 'stellar_radius': 0.9381507499264757}",Moderate
FALSE POSITIVE,7.544039,17.47,116.46,838.0,5657.0,0.824,0.919,,6.222,322.6,kepler,44.89230837862369,"{'planetary_radius': 0.7139514875854035, 'insolation_flux': 0.04849042671820525, 'equilibrium_temp': 0, 'orbital_period': 0.8060087832179124, 'stellar_temp': 0.9395, 'stellar_radius': 0.9612830501854669}",Moderate
CONFIRMED,9.02930689,2.57,77.75,757.0,5349.0,0.82,0.824,,3.1449,1019.8,kepler,51.207285388000315,"{'planetary_radius': 0.9056094101092872, 'insolation_flux': 0.12930028978813135, 'equilibrium_temp': 0, 'orbital_period': 0.8149946778742251, 'stellar_temp': 0.7855, 'stellar_radius': 0.9603098122552324}",Moderate
CONFIRMED,6.164876,0.79,256.35,1021.0,5854.0,1.012,0.951,,3.262,55.8,kepler,51.860047414691024,"{'planetary_radius': 0.976427766647893, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7959142986119508, 'stellar_temp': 0.962, 'stellar_radius': 0.9976142858269452}",Moderate
CONFIRMED,29.1598615,1.91,17.85,524.0,5485.0,0.867,0.986,,4.803,488.0,kepler,60.7770619839152,"{'planetary_radius': 0.9352896757941461, 'insolation_flux': 0.4235992983548703, 'equilibrium_temp': 0, 'orbital_period': 0.8736105553420652, 'stellar_temp': 0.8535, 'stellar_radius': 0.9714567395596809}",High
FALSE POSITIVE,1.540397253,25.69,1105.68,1470.0,5663.0,0.915,1.034,,2.1541,816.1,kepler,41.8635924974396,"{'planetary_radius': 0.6753898188878208, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.726572914451159, 'stellar_temp': 0.9425, 'stellar_radius': 0.9822337572586769}",Moderate
FALSE POSITIVE,2.99025443,1.7,168.45,918.0,4667.0,0.731,0.737,,5.414,589.2,kepler,45.13716164097964,"{'planetary_radius': 0.9469371748937829, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7597388213398506, 'stellar_temp': 0.4445, 'stellar_radius': 0.9373316361535283}",Moderate
CONFIRMED,4.783002698,2.5,145.48,886.0,5170.0,0.807,0.891,,2.335,1008.7,kepler,46.92874633214556,"{'planetary_radius': 0.9083709268125845, 'insolation_flux': 0.00399227597624241, 'equilibrium_temp': 0, 'orbital_period': 0.7832243239074156, 'stellar_temp': 0.696, 'stellar_radius': 0.9571136778575624}",Moderate
CONFIRMED,20.50588921,3.41,17.06,518.0,4905.0,0.761,0.739,,4.0595,2105.5,kepler,56.05812353107239,"{'planetary_radius': 0.8773287708704575, 'insolation_flux': 0.43265269158729347, 'equilibrium_temp': 0, 'orbital_period': 0.856006503639678, 'stellar_temp': 0.5635, 'stellar_radius': 0.9453756157759098}",Moderate
FALSE POSITIVE,2.507089906,30.26,730.47,1326.0,5926.0,0.939,1.03,,2.0067,1339.2,kepler,41.47685039008988,"{'planetary_radius': 0.659017329163979, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.750927031494438, 'stellar_temp': 0.926, 'stellar_radius': 0.9874120400452252}",Moderate
CONFIRMED,18.64932728,3.12,57.13,701.0,5775.0,1.053,1.026,,4.4056,893.6,kepler,54.805824909717614,"{'planetary_radius': 0.8862166998178609, 'insolation_flux': 0.1909341254527257, 'equilibrium_temp': 0, 'orbital_period': 0.8512614012015485, 'stellar_temp': 0.9985, 'stellar_radius': 0.9896713533696323}",Moderate
CONFIRMED,4.90144976,1.7,598.74,1262.0,5847.0,1.402,1.113,,4.1654,140.7,kepler,50.569689948257505,"{'planetary_radius': 0.9469371748937829, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7844474490056406, 'stellar_temp': 0.9655, 'stellar_radius': 0.9324200422775204}",Moderate
CONFIRMED,9.75192101,2.76,135.66,870.0,5775.0,1.053,1.026,,4.793,418.0,kepler,50.525347070890525,"{'planetary_radius': 0.8984769320270941, 'insolation_flux': 0.01796964889641328, 'equilibrium_temp': 0, 'orbital_period': 0.8188441120819204, 'stellar_temp': 0.9985, 'stellar_radius': 0.9896713533696323}",Moderate
CONFIRMED,38.5576546,4.02,21.71,550.0,5775.0,1.053,1.026,,5.794,993.0,kepler,59.246432435790794,"{'planetary_radius': 0.860871809736907, 'insolation_flux': 0.38444540322195997, 'equilibrium_temp': 0, 'orbital_period': 0.8875786296286422, 'stellar_temp': 0.9985, 'stellar_radius': 0.9896713533696323}",Moderate
FALSE POSITIVE,3.747838198,13.65,266.76,1031.0,5514.0,0.826,0.926,,5.0642,616.0,kepler,43.357919500940625,"{'planetary_radius': 0.7386260478369031, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7710298571294694, 'stellar_temp': 0.868, 'stellar_radius': 0.9617678989077681}",Moderate
CONFIRMED,14.74914825,2.89,137.91,874.0,5847.0,1.402,1.113,,6.0995,430.2,kepler,49.895625854945834,"{'planetary_radius': 0.893874349787566, 'insolation_flux': 0.014679740302750766, 'equilibrium_temp': 0, 'orbital_period': 0.8395301642362478, 'stellar_temp': 0.9655, 'stellar_radius': 0.9324200422775204}",Moderate
